source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T19:40:40+00:00,900001,Almería,ES,2026-06-08,36.8381,-2.4597,Europe/Madrid,27.0,21.0,24.1,0.0,0.0,0.0,17.4
forecast,2026-06-08T19:40:40+00:00,900001,Almería,ES,2026-06-09,36.8381,-2.4597,Europe/Madrid,27.7,20.5,23.9,0.0,0.0,0.0,15.5
forecast,2026-06-08T19:40:40+00:00,900001,Almería,ES,2026-06-10,36.8381,-2.4597,Europe/Madrid,29.6,21.8,25.5,0.0,0.0,0.0,20.2
forecast,2026-06-08T19:40:40+00:00,900001,Almería,ES,2026-06-11,36.8381,-2.4597,Europe/Madrid,31.1,22.5,26.4,0.0,0.0,0.0,25.1
forecast,2026-06-08T19:40:40+00:00,900001,Almería,ES,2026-06-12,36.8381,-2.4597,Europe/Madrid,31.6,23.2,26.9,0.0,0.0,0.0,23.7
forecast,2026-06-08T19:40:40+00:00,900001,Almería,ES,2026-06-13,36.8381,-2.4597,Europe/Madrid,33.1,24.3,28.3,0.0,0.0,0.0,28.7
forecast,2026-06-08T19:40:40+00:00,900001,Almería,ES,2026-06-14,36.8381,-2.4597,Europe/Madrid,32.4,23.0,26.9,0.0,0.0,0.0,21.6
forecast,2026-06-08T19:40:40+00:00,900002,Cádiz,ES,2026-06-08,36.5298,-6.2924,Europe/Madrid,22.5,21.1,21.8,0.0,0.0,0.0,16.4
forecast,2026-06-08T19:40:40+00:00,900002,Cádiz,ES,2026-06-09,36.5298,-6.2924,Europe/Madrid,23.2,21.3,22.1,0.0,0.0,0.0,14.4
forecast,2026-06-08T19:40:40+00:00,900002,Cádiz,ES,2026-06-10,36.5298,-6.2924,Europe/Madrid,23.1,20.4,21.7,0.0,0.0,0.0,17.4
forecast,2026-06-08T19:40:40+00:00,900002,Cádiz,ES,2026-06-11,36.5298,-6.2924,Europe/Madrid,26.5,22.4,24.1,0.0,0.0,0.0,38.3
forecast,2026-06-08T19:40:40+00:00,900002,Cádiz,ES,2026-06-12,36.5298,-6.2924,Europe/Madrid,26.5,21.9,23.9,0.0,0.0,0.0,40.1
forecast,2026-06-08T19:40:40+00:00,900002,Cádiz,ES,2026-06-13,36.5298,-6.2924,Europe/Madrid,30.7,22.0,25.4,0.0,0.0,0.0,37.9
forecast,2026-06-08T19:40:40+00:00,900002,Cádiz,ES,2026-06-14,36.5298,-6.2924,Europe/Madrid,26.4,20.2,23.0,0.0,0.0,0.0,19.4
forecast,2026-06-08T19:40:40+00:00,900003,Córdoba,ES,2026-06-08,37.8882,-4.7794,Europe/Madrid,35.8,20.6,28.1,0.0,0.0,0.0,15.0
forecast,2026-06-08T19:40:40+00:00,900003,Córdoba,ES,2026-06-09,37.8882,-4.7794,Europe/Madrid,37.3,19.0,28.7,0.0,0.0,0.0,15.9
forecast,2026-06-08T19:40:40+00:00,900003,Córdoba,ES,2026-06-10,37.8882,-4.7794,Europe/Madrid,37.3,20.6,29.2,0.0,0.0,0.0,14.9
forecast,2026-06-08T19:40:40+00:00,900003,Córdoba,ES,2026-06-11,37.8882,-4.7794,Europe/Madrid,36.7,20.9,28.0,0.0,0.0,0.0,17.6
forecast,2026-06-08T19:40:40+00:00,900003,Córdoba,ES,2026-06-12,37.8882,-4.7794,Europe/Madrid,37.3,20.5,28.2,0.0,0.0,0.0,20.5
forecast,2026-06-08T19:40:40+00:00,900003,Córdoba,ES,2026-06-13,37.8882,-4.7794,Europe/Madrid,37.0,19.8,28.2,0.3,0.0,0.0,13.4
forecast,2026-06-08T19:40:40+00:00,900003,Córdoba,ES,2026-06-14,37.8882,-4.7794,Europe/Madrid,33.0,21.1,26.8,0.0,0.0,0.0,23.7
forecast,2026-06-08T19:40:40+00:00,900004,Granada,ES,2026-06-08,37.1773,-3.5986,Europe/Madrid,33.3,17.2,25.2,0.0,0.0,0.0,14.8
forecast,2026-06-08T19:40:40+00:00,900004,Granada,ES,2026-06-09,37.1773,-3.5986,Europe/Madrid,34.1,17.2,25.4,0.0,0.0,0.0,13.0
forecast,2026-06-08T19:40:40+00:00,900004,Granada,ES,2026-06-10,37.1773,-3.5986,Europe/Madrid,32.5,16.8,24.6,0.0,0.0,0.0,18.6
forecast,2026-06-08T19:40:40+00:00,900004,Granada,ES,2026-06-11,37.1773,-3.5986,Europe/Madrid,32.1,17.3,24.6,0.0,0.0,0.0,16.5
forecast,2026-06-08T19:40:40+00:00,900004,Granada,ES,2026-06-12,37.1773,-3.5986,Europe/Madrid,33.1,16.7,24.3,0.0,0.0,0.0,14.3
forecast,2026-06-08T19:40:40+00:00,900004,Granada,ES,2026-06-13,37.1773,-3.5986,Europe/Madrid,31.9,16.4,24.0,0.0,0.0,0.0,14.4
forecast,2026-06-08T19:40:40+00:00,900004,Granada,ES,2026-06-14,37.1773,-3.5986,Europe/Madrid,30.9,18.5,23.4,0.6,0.0,0.0,15.9
forecast,2026-06-08T19:40:40+00:00,900005,Huelva,ES,2026-06-08,37.2614,-6.9447,Europe/Madrid,32.6,18.5,24.8,0.0,0.0,0.0,15.3
forecast,2026-06-08T19:40:40+00:00,900005,Huelva,ES,2026-06-09,37.2614,-6.9447,Europe/Madrid,32.5,18.5,24.8,0.0,0.0,0.0,16.7
forecast,2026-06-08T19:40:40+00:00,900005,Huelva,ES,2026-06-10,37.2614,-6.9447,Europe/Madrid,27.6,19.6,24.1,0.0,0.0,0.0,15.6
forecast,2026-06-08T19:40:40+00:00,900005,Huelva,ES,2026-06-11,37.2614,-6.9447,Europe/Madrid,30.3,19.6,24.7,0.0,0.0,0.0,15.9
forecast,2026-06-08T19:40:40+00:00,900005,Huelva,ES,2026-06-12,37.2614,-6.9447,Europe/Madrid,30.7,20.1,25.0,0.0,0.0,0.0,15.6
forecast,2026-06-08T19:40:40+00:00,900005,Huelva,ES,2026-06-13,37.2614,-6.9447,Europe/Madrid,31.0,19.1,24.8,0.3,0.0,0.0,17.5
forecast,2026-06-08T19:40:40+00:00,900005,Huelva,ES,2026-06-14,37.2614,-6.9447,Europe/Madrid,24.5,20.6,22.9,0.0,0.0,0.0,20.5
forecast,2026-06-08T19:40:40+00:00,900006,Jaén,ES,2026-06-08,37.7796,-3.7849,Europe/Madrid,33.8,19.5,26.9,0.0,0.0,0.0,16.1
forecast,2026-06-08T19:40:40+00:00,900006,Jaén,ES,2026-06-09,37.7796,-3.7849,Europe/Madrid,35.0,19.0,27.7,0.0,0.0,0.0,17.4
forecast,2026-06-08T19:40:40+00:00,900006,Jaén,ES,2026-06-10,37.7796,-3.7849,Europe/Madrid,34.6,20.0,28.0,0.0,0.0,0.0,16.1
forecast,2026-06-08T19:40:40+00:00,900006,Jaén,ES,2026-06-11,37.7796,-3.7849,Europe/Madrid,35.5,19.3,27.3,0.0,0.0,0.0,15.6
forecast,2026-06-08T19:40:40+00:00,900006,Jaén,ES,2026-06-12,37.7796,-3.7849,Europe/Madrid,35.2,19.7,27.2,0.0,0.0,0.0,16.3
forecast,2026-06-08T19:40:40+00:00,900006,Jaén,ES,2026-06-13,37.7796,-3.7849,Europe/Madrid,35.5,18.6,27.0,0.0,0.0,0.0,17.2
forecast,2026-06-08T19:40:40+00:00,900006,Jaén,ES,2026-06-14,37.7796,-3.7849,Europe/Madrid,34.6,18.5,26.2,0.0,0.0,0.0,22.2
forecast,2026-06-08T19:40:40+00:00,900007,Málaga,ES,2026-06-08,36.7213,-4.4214,Europe/Madrid,26.2,19.6,23.3,0.0,0.0,0.0,14.5
forecast,2026-06-08T19:40:40+00:00,900007,Málaga,ES,2026-06-09,36.7213,-4.4214,Europe/Madrid,26.2,20.2,22.9,0.0,0.0,0.0,11.8
forecast,2026-06-08T19:40:40+00:00,900007,Málaga,ES,2026-06-10,36.7213,-4.4214,Europe/Madrid,25.8,19.7,22.9,0.0,0.0,0.0,15.0
forecast,2026-06-08T19:40:40+00:00,900007,Málaga,ES,2026-06-11,36.7213,-4.4214,Europe/Madrid,26.1,21.0,23.2,0.0,0.0,0.0,15.6
forecast,2026-06-08T19:40:40+00:00,900007,Málaga,ES,2026-06-12,36.7213,-4.4214,Europe/Madrid,26.8,19.9,23.2,0.0,0.0,0.0,16.2
forecast,2026-06-08T19:40:40+00:00,900007,Málaga,ES,2026-06-13,36.7213,-4.4214,Europe/Madrid,27.4,18.6,23.2,0.0,0.0,0.0,13.7
forecast,2026-06-08T19:40:40+00:00,900007,Málaga,ES,2026-06-14,36.7213,-4.4214,Europe/Madrid,26.5,22.4,24.1,0.6,0.0,0.0,10.9
forecast,2026-06-08T19:40:40+00:00,900008,Sevilla,ES,2026-06-08,37.3886,-5.9823,Europe/Madrid,34.5,19.7,26.5,0.0,0.0,0.0,14.5
forecast,2026-06-08T19:40:40+00:00,900008,Sevilla,ES,2026-06-09,37.3886,-5.9823,Europe/Madrid,36.0,20.9,27.9,0.0,0.0,0.0,14.9
forecast,2026-06-08T19:40:40+00:00,900008,Sevilla,ES,2026-06-10,37.3886,-5.9823,Europe/Madrid,34.9,19.3,26.5,0.0,0.0,0.0,14.1
forecast,2026-06-08T19:40:40+00:00,900008,Sevilla,ES,2026-06-11,37.3886,-5.9823,Europe/Madrid,35.8,20.7,27.8,0.0,0.0,0.0,9.2
forecast,2026-06-08T19:40:40+00:00,900008,Sevilla,ES,2026-06-12,37.3886,-5.9823,Europe/Madrid,36.7,21.5,28.5,0.0,0.0,0.0,15.5
forecast,2026-06-08T19:40:40+00:00,900008,Sevilla,ES,2026-06-13,37.3886,-5.9823,Europe/Madrid,36.6,20.1,27.8,0.0,0.0,0.0,18.8
forecast,2026-06-08T19:40:40+00:00,900008,Sevilla,ES,2026-06-14,37.3886,-5.9823,Europe/Madrid,28.1,20.5,24.4,0.3,0.0,0.0,17.8
forecast,2026-06-08T19:40:40+00:00,900009,Huesca,ES,2026-06-08,42.1401,-0.4087,Europe/Madrid,33.1,17.6,25.4,0.0,0.0,0.0,24.0
forecast,2026-06-08T19:40:40+00:00,900009,Huesca,ES,2026-06-09,42.1401,-0.4087,Europe/Madrid,28.3,17.2,22.5,0.0,0.0,0.0,25.3
forecast,2026-06-08T19:40:40+00:00,900009,Huesca,ES,2026-06-10,42.1401,-0.4087,Europe/Madrid,26.7,14.1,20.9,0.0,0.0,0.0,30.3
forecast,2026-06-08T19:40:40+00:00,900009,Huesca,ES,2026-06-11,42.1401,-0.4087,Europe/Madrid,29.5,14.5,21.4,0.0,0.0,0.0,27.4
forecast,2026-06-08T19:40:40+00:00,900009,Huesca,ES,2026-06-12,42.1401,-0.4087,Europe/Madrid,31.4,18.1,24.6,0.0,0.0,0.0,13.4
forecast,2026-06-08T19:40:40+00:00,900009,Huesca,ES,2026-06-13,42.1401,-0.4087,Europe/Madrid,33.9,20.1,26.9,0.0,0.0,0.0,13.0
forecast,2026-06-08T19:40:40+00:00,900009,Huesca,ES,2026-06-14,42.1401,-0.4087,Europe/Madrid,33.6,21.4,27.8,0.0,0.0,0.0,15.9
