location_id,city_name,country,country_code,admin1,latitude,longitude,timezone,elevation,population,extracted_at
900001,Almería,Spain,ES,Almería,36.8381,-2.4597,Europe/Madrid,0,200578,2026-06-08T19:40:40+00:00
900002,Cádiz,Spain,ES,Cádiz,36.5298,-6.2924,Europe/Madrid,11,115439,2026-06-08T19:40:40+00:00
900003,Córdoba,Spain,ES,Córdoba,37.8882,-4.7794,Europe/Madrid,119,322071,2026-06-08T19:40:40+00:00
900004,Granada,Spain,ES,Granada,37.1773,-3.5986,Europe/Madrid,738,229690,2026-06-08T19:40:40+00:00
900005,Huelva,Spain,ES,Huelva,37.2614,-6.9447,Europe/Madrid,17,143663,2026-06-08T19:40:40+00:00
900006,Jaén,Spain,ES,Jaén,37.7796,-3.7849,Europe/Madrid,570,111342,2026-06-08T19:40:40+00:00
900007,Málaga,Spain,ES,Málaga,36.7213,-4.4214,Europe/Madrid,11,579076,2026-06-08T19:40:40+00:00
900008,Sevilla,Spain,ES,Sevilla,37.3886,-5.9823,Europe/Madrid,7,684234,2026-06-08T19:40:40+00:00
900009,Huesca,Spain,ES,Huesca,42.1401,-0.4087,Europe/Madrid,488,53132,2026-06-08T19:40:40+00:00
900010,Teruel,Spain,ES,Teruel,40.3456,-1.1065,Europe/Madrid,916,35994,2026-06-08T19:40:40+00:00
900011,Zaragoza,Spain,ES,Zaragoza,41.6488,-0.8891,Europe/Madrid,199,675301,2026-06-08T19:40:40+00:00
900012,Oviedo,Spain,ES,Asturias,43.3614,-5.8593,Europe/Madrid,232,219686,2026-06-08T19:40:40+00:00
900013,Palma,Spain,ES,Illes Balears,39.5696,2.6502,Europe/Madrid,13,419366,2026-06-08T19:40:40+00:00
900014,Las Palmas de Gran Canaria,Spain,ES,Las Palmas,28.1235,-15.4366,Atlantic/Canary,8,379925,2026-06-08T19:40:40+00:00
900015,Santa Cruz de Tenerife,Spain,ES,Santa Cruz de Tenerife,28.4636,-16.2518,Atlantic/Canary,4,208688,2026-06-08T19:40:40+00:00
900016,Santander,Spain,ES,Cantabria,43.4623,-3.8099,Europe/Madrid,16,172539,2026-06-08T19:40:40+00:00
900017,Albacete,Spain,ES,Albacete,38.9943,-1.8585,Europe/Madrid,686,174336,2026-06-08T19:40:40+00:00
900018,Ciudad Real,Spain,ES,Ciudad Real,38.9848,-3.9273,Europe/Madrid,628,75104,2026-06-08T19:40:40+00:00
900019,Cuenca,Spain,ES,Cuenca,40.0704,-2.1374,Europe/Madrid,946,54898,2026-06-08T19:40:40+00:00
900020,Guadalajara,Spain,ES,Guadalajara,40.6293,-3.1669,Europe/Madrid,685,87484,2026-06-08T19:40:40+00:00
900021,Toledo,Spain,ES,Toledo,39.8628,-4.0273,Europe/Madrid,529,85811,2026-06-08T19:40:40+00:00
900022,Ávila,Spain,ES,Ávila,40.6566,-4.6812,Europe/Madrid,1131,57949,2026-06-08T19:40:40+00:00
900023,Burgos,Spain,ES,Burgos,42.3439,-3.6969,Europe/Madrid,859,174451,2026-06-08T19:40:40+00:00
900024,León,Spain,ES,León,42.5987,-5.5671,Europe/Madrid,837,122051,2026-06-08T19:40:40+00:00
900025,Palencia,Spain,ES,Palencia,42.0096,-4.5288,Europe/Madrid,740,77863,2026-06-08T19:40:40+00:00
900026,Salamanca,Spain,ES,Salamanca,40.9701,-5.6635,Europe/Madrid,802,143978,2026-06-08T19:40:40+00:00
900027,Segovia,Spain,ES,Segovia,40.9429,-4.1088,Europe/Madrid,1005,51640,2026-06-08T19:40:40+00:00
900028,Soria,Spain,ES,Soria,41.7665,-2.4790,Europe/Madrid,1063,39821,2026-06-08T19:40:40+00:00
900029,Valladolid,Spain,ES,Valladolid,41.6523,-4.7245,Europe/Madrid,698,298866,2026-06-08T19:40:40+00:00
900030,Zamora,Spain,ES,Zamora,41.5037,-5.7448,Europe/Madrid,652,60106,2026-06-08T19:40:40+00:00
900031,Barcelona,Spain,ES,Barcelona,41.3851,2.1734,Europe/Madrid,12,1636762,2026-06-08T19:40:40+00:00
900032,Girona,Spain,ES,Girona,41.9794,2.8214,Europe/Madrid,70,104232,2026-06-08T19:40:40+00:00
900033,Lleida,Spain,ES,Lleida,41.6176,0.6200,Europe/Madrid,155,140403,2026-06-08T19:40:40+00:00
900034,Tarragona,Spain,ES,Tarragona,41.1189,1.2445,Europe/Madrid,68,135570,2026-06-08T19:40:40+00:00
900035,Alicante,Spain,ES,Alicante,38.3452,-0.4810,Europe/Madrid,3,338577,2026-06-08T19:40:40+00:00
900036,Castellón de la Plana,Spain,ES,Castellón,39.9864,-0.0513,Europe/Madrid,27,170990,2026-06-08T19:40:40+00:00
900037,Valencia,Spain,ES,Valencia,39.4699,-0.3763,Europe/Madrid,15,792492,2026-06-08T19:40:40+00:00
900038,Badajoz,Spain,ES,Badajoz,38.8794,-6.9707,Europe/Madrid,184,150984,2026-06-08T19:40:40+00:00
900039,Cáceres,Spain,ES,Cáceres,39.4753,-6.3724,Europe/Madrid,459,96068,2026-06-08T19:40:40+00:00
900040,A Coruña,Spain,ES,A Coruña,43.3623,-8.4115,Europe/Madrid,0,245468,2026-06-08T19:40:40+00:00
900041,Lugo,Spain,ES,Lugo,43.0099,-7.5560,Europe/Madrid,454,98275,2026-06-08T19:40:40+00:00
